freight_train_id,movement_date,origin_station_code,destination_station_code,commodity,load_tonnes,planned_entry_time,planned_exit_time,traffic_priority,corridor,data_status,source_basis,planning_use,simulation_note,reference_1,reference_1_url,reference_2,reference_2_url,reference_3,reference_3_url,reference_4,reference_4_url
FT-DA-001,2026-09-14,NDLS,AGC,Coal,4200,05:10,09:40,High,Delhi-Agra,SIMULATED_BY_PLANRAIL,Domain-calibrated PlanRail planning scenario; not a real FOIS/NTES train record,Traffic conflict and maintenance-block optimization,Synthetic planning scenario created for the PlanRail SIH prototype; not an actual Indian Railways/FOIS freight movement record.,RDSO/CAMTECH Indian Railways Handbook on Networking and Data Networks - FOIS,https://rdso.indianrailways.gov.in/uploads/files/Handbook%20on%20Networking%20and%20Data%20Networks%20of%20Indian%20Railways.pdf,Indian Railways Operating Manual - Freight Operation,https://indianrailways.gov.in/railwayboard/uploads/codesmanual/operating%20manual-traffic.pdf,Open Government Data Platform India - Indian Railways Train Time Table,https://jk.data.gov.in/catalog/indian-railways-train-time-table,Kaggle - Indian Railways Dataset (stations/trains/schedules),https://www.kaggle.com/datasets/sripaadsrinivasan/indian-railways-dataset
FT-DA-002,2026-09-14,AGC,NDLS,Containerized,2800,06:00,10:20,High,Delhi-Agra,SIMULATED_BY_PLANRAIL,Domain-calibrated PlanRail planning scenario; not a real FOIS/NTES train record,Traffic conflict and maintenance-block optimization,Synthetic planning scenario created for the PlanRail SIH prototype; not an actual Indian Railways/FOIS freight movement record.,RDSO/CAMTECH Indian Railways Handbook on Networking and Data Networks - FOIS,https://rdso.indianrailways.gov.in/uploads/files/Handbook%20on%20Networking%20and%20Data%20Networks%20of%20Indian%20Railways.pdf,Indian Railways Operating Manual - Freight Operation,https://indianrailways.gov.in/railwayboard/uploads/codesmanual/operating%20manual-traffic.pdf,Open Government Data Platform India - Indian Railways Train Time Table,https://jk.data.gov.in/catalog/indian-railways-train-time-table,Kaggle - Indian Railways Dataset (stations/trains/schedules),https://www.kaggle.com/datasets/sripaadsrinivasan/indian-railways-dataset
FT-DA-003,2026-09-14,NDLS,AGC,Cement,3600,07:15,11:40,Medium,Delhi-Agra,SIMULATED_BY_PLANRAIL,Domain-calibrated PlanRail planning scenario; not a real FOIS/NTES train record,Traffic conflict and maintenance-block optimization,Synthetic planning scenario created for the PlanRail SIH prototype; not an actual Indian Railways/FOIS freight movement record.,RDSO/CAMTECH Indian Railways Handbook on Networking and Data Networks - FOIS,https://rdso.indianrailways.gov.in/uploads/files/Handbook%20on%20Networking%20and%20Data%20Networks%20of%20Indian%20Railways.pdf,Indian Railways Operating Manual - Freight Operation,https://indianrailways.gov.in/railwayboard/uploads/codesmanual/operating%20manual-traffic.pdf,Open Government Data Platform India - Indian Railways Train Time Table,https://jk.data.gov.in/catalog/indian-railways-train-time-table,Kaggle - Indian Railways Dataset (stations/trains/schedules),https://www.kaggle.com/datasets/sripaadsrinivasan/indian-railways-dataset
FT-DA-004,2026-09-14,AGC,NDLS,Foodgrains,3100,08:00,12:35,High,Delhi-Agra,SIMULATED_BY_PLANRAIL,Domain-calibrated PlanRail planning scenario; not a real FOIS/NTES train record,Traffic conflict and maintenance-block optimization,Synthetic planning scenario created for the PlanRail SIH prototype; not an actual Indian Railways/FOIS freight movement record.,RDSO/CAMTECH Indian Railways Handbook on Networking and Data Networks - FOIS,https://rdso.indianrailways.gov.in/uploads/files/Handbook%20on%20Networking%20and%20Data%20Networks%20of%20Indian%20Railways.pdf,Indian Railways Operating Manual - Freight Operation,https://indianrailways.gov.in/railwayboard/uploads/codesmanual/operating%20manual-traffic.pdf,Open Government Data Platform India - Indian Railways Train Time Table,https://jk.data.gov.in/catalog/indian-railways-train-time-table,Kaggle - Indian Railways Dataset (stations/trains/schedules),https://www.kaggle.com/datasets/sripaadsrinivasan/indian-railways-dataset
FT-DA-005,2026-09-14,NDLS,AGC,Fertilizer,2600,09:20,13:55,Medium,Delhi-Agra,SIMULATED_BY_PLANRAIL,Domain-calibrated PlanRail planning scenario; not a real FOIS/NTES train record,Traffic conflict and maintenance-block optimization,Synthetic planning scenario created for the PlanRail SIH prototype; not an actual Indian Railways/FOIS freight movement record.,RDSO/CAMTECH Indian Railways Handbook on Networking and Data Networks - FOIS,https://rdso.indianrailways.gov.in/uploads/files/Handbook%20on%20Networking%20and%20Data%20Networks%20of%20Indian%20Railways.pdf,Indian Railways Operating Manual - Freight Operation,https://indianrailways.gov.in/railwayboard/uploads/codesmanual/operating%20manual-traffic.pdf,Open Government Data Platform India - Indian Railways Train Time Table,https://jk.data.gov.in/catalog/indian-railways-train-time-table,Kaggle - Indian Railways Dataset (stations/trains/schedules),https://www.kaggle.com/datasets/sripaadsrinivasan/indian-railways-dataset
FT-DA-006,2026-09-14,AGC,NDLS,Petroleum products,2400,10:10,14:35,Critical,Delhi-Agra,SIMULATED_BY_PLANRAIL,Domain-calibrated PlanRail planning scenario; not a real FOIS/NTES train record,Traffic conflict and maintenance-block optimization,Synthetic planning scenario created for the PlanRail SIH prototype; not an actual Indian Railways/FOIS freight movement record.,RDSO/CAMTECH Indian Railways Handbook on Networking and Data Networks - FOIS,https://rdso.indianrailways.gov.in/uploads/files/Handbook%20on%20Networking%20and%20Data%20Networks%20of%20Indian%20Railways.pdf,Indian Railways Operating Manual - Freight Operation,https://indianrailways.gov.in/railwayboard/uploads/codesmanual/operating%20manual-traffic.pdf,Open Government Data Platform India - Indian Railways Train Time Table,https://jk.data.gov.in/catalog/indian-railways-train-time-table,Kaggle - Indian Railways Dataset (stations/trains/schedules),https://www.kaggle.com/datasets/sripaadsrinivasan/indian-railways-dataset
FT-DA-007,2026-09-14,NDLS,AGC,Iron & steel,3300,11:30,16:00,High,Delhi-Agra,SIMULATED_BY_PLANRAIL,Domain-calibrated PlanRail planning scenario; not a real FOIS/NTES train record,Traffic conflict and maintenance-block optimization,Synthetic planning scenario created for the PlanRail SIH prototype; not an actual Indian Railways/FOIS freight movement record.,RDSO/CAMTECH Indian Railways Handbook on Networking and Data Networks - FOIS,https://rdso.indianrailways.gov.in/uploads/files/Handbook%20on%20Networking%20and%20Data%20Networks%20of%20Indian%20Railways.pdf,Indian Railways Operating Manual - Freight Operation,https://indianrailways.gov.in/railwayboard/uploads/codesmanual/operating%20manual-traffic.pdf,Open Government Data Platform India - Indian Railways Train Time Table,https://jk.data.gov.in/catalog/indian-railways-train-time-table,Kaggle - Indian Railways Dataset (stations/trains/schedules),https://www.kaggle.com/datasets/sripaadsrinivasan/indian-railways-dataset
FT-DA-008,2026-09-14,AGC,NDLS,Coal,4400,12:15,16:55,High,Delhi-Agra,SIMULATED_BY_PLANRAIL,Domain-calibrated PlanRail planning scenario; not a real FOIS/NTES train record,Traffic conflict and maintenance-block optimization,Synthetic planning scenario created for the PlanRail SIH prototype; not an actual Indian Railways/FOIS freight movement record.,RDSO/CAMTECH Indian Railways Handbook on Networking and Data Networks - FOIS,https://rdso.indianrailways.gov.in/uploads/files/Handbook%20on%20Networking%20and%20Data%20Networks%20of%20Indian%20Railways.pdf,Indian Railways Operating Manual - Freight Operation,https://indianrailways.gov.in/railwayboard/uploads/codesmanual/operating%20manual-traffic.pdf,Open Government Data Platform India - Indian Railways Train Time Table,https://jk.data.gov.in/catalog/indian-railways-train-time-table,Kaggle - Indian Railways Dataset (stations/trains/schedules),https://www.kaggle.com/datasets/sripaadsrinivasan/indian-railways-dataset
FT-DA-009,2026-09-14,NDLS,AGC,Containerized,2700,13:40,18:10,Medium,Delhi-Agra,SIMULATED_BY_PLANRAIL,Domain-calibrated PlanRail planning scenario; not a real FOIS/NTES train record,Traffic conflict and maintenance-block optimization,Synthetic planning scenario created for the PlanRail SIH prototype; not an actual Indian Railways/FOIS freight movement record.,RDSO/CAMTECH Indian Railways Handbook on Networking and Data Networks - FOIS,https://rdso.indianrailways.gov.in/uploads/files/Handbook%20on%20Networking%20and%20Data%20Networks%20of%20Indian%20Railways.pdf,Indian Railways Operating Manual - Freight Operation,https://indianrailways.gov.in/railwayboard/uploads/codesmanual/operating%20manual-traffic.pdf,Open Government Data Platform India - Indian Railways Train Time Table,https://jk.data.gov.in/catalog/indian-railways-train-time-table,Kaggle - Indian Railways Dataset (stations/trains/schedules),https://www.kaggle.com/datasets/sripaadsrinivasan/indian-railways-dataset
FT-DA-010,2026-09-14,AGC,NDLS,Cement,3500,14:25,19:00,Medium,Delhi-Agra,SIMULATED_BY_PLANRAIL,Domain-calibrated PlanRail planning scenario; not a real FOIS/NTES train record,Traffic conflict and maintenance-block optimization,Synthetic planning scenario created for the PlanRail SIH prototype; not an actual Indian Railways/FOIS freight movement record.,RDSO/CAMTECH Indian Railways Handbook on Networking and Data Networks - FOIS,https://rdso.indianrailways.gov.in/uploads/files/Handbook%20on%20Networking%20and%20Data%20Networks%20of%20Indian%20Railways.pdf,Indian Railways Operating Manual - Freight Operation,https://indianrailways.gov.in/railwayboard/uploads/codesmanual/operating%20manual-traffic.pdf,Open Government Data Platform India - Indian Railways Train Time Table,https://jk.data.gov.in/catalog/indian-railways-train-time-table,Kaggle - Indian Railways Dataset (stations/trains/schedules),https://www.kaggle.com/datasets/sripaadsrinivasan/indian-railways-dataset
