crew_id,crew_name,department,available_from_hour,available_to_hour,team_size
CR001,Crew-S&T-01,S&T,14,23,5
CR002,Crew-Eng-02,Engineering,7,13,3
CR003,Crew-Eng-03,Engineering,9,15,6
CR004,Crew-Tra-04,Traction,12,18,4
CR005,Crew-Tra-05,Traction,14,22,5
CR006,Crew-Sig-06,Signalling,6,16,5
CR007,Crew-Sig-07,Signalling,14,20,5
CR008,Crew-Sig-08,Signalling,6,12,8
CR009,Crew-Eng-09,Engineering,9,19,6
CR010,Crew-S&T-10,S&T,6,16,8
CR011,Crew-Eng-11,Engineering,6,16,5
CR012,Crew-Sig-12,Signalling,9,19,7
CR013,Crew-Sig-13,Signalling,10,18,7
CR014,Crew-S&T-14,S&T,14,20,6
CR015,Crew-Eng-15,Engineering,9,17,6
CR016,Crew-Eng-16,Engineering,14,22,8
CR017,Crew-S&T-17,S&T,6,14,5
CR018,Crew-S&T-18,S&T,6,16,3
CR019,Crew-Eng-19,Engineering,7,15,8
CR020,Crew-Eng-20,Engineering,18,23,5
CR021,Crew-Sig-21,Signalling,8,16,3
CR022,Crew-Sig-22,Signalling,8,18,4
CR023,Crew-S&T-23,S&T,8,14,8
CR024,Crew-Tra-24,Traction,12,20,4
CR025,Crew-Sig-25,Signalling,7,13,8
CR026,Crew-Eng-26,Engineering,12,22,4
CR027,Crew-S&T-27,S&T,9,17,5
CR028,Crew-Eng-28,Engineering,9,15,7
CR029,Crew-Eng-29,Engineering,14,20,7
CR030,Crew-Eng-30,Engineering,10,16,8
