train_number,train_name,train_type,origin_code,destination_code,service_pattern,is_synthetic_schedule
12904,Golden Temple Mail,EXPRESS,NZM,AGC,DAILY_PROTOTYPE,True
12644,TVC Rajdhani Route,SUPERFAST,NZM,AGC,DAILY_PROTOTYPE,True
12646,Millennium Express,SUPERFAST,NZM,AGC,DAILY_PROTOTYPE,True
12402,Kota AC Express,EXPRESS,NZM,AGC,DAILY_PROTOTYPE,True
18238,Chhattisgarh Express,EXPRESS,NZM,AGC,DAILY_PROTOTYPE,True
12138,Punjab Mail,EXPRESS,NDLS,AGC,DAILY_PROTOTYPE,True
14212,New Delhi Agra Intercity,INTERCITY,NDLS,AGC,DAILY_PROTOTYPE,True
12280,Taj Express,EXPRESS,NDLS,AGC,DAILY_PROTOTYPE,True
12050,Gatimaan Prototype,PREMIUM,NZM,AGC,DAILY_PROTOTYPE,True
12807,Samta Express,SUPERFAST,NZM,AGC,DAILY_PROTOTYPE,True
12616,Grand Trunk Express,EXPRESS,NZM,AGC,DAILY_PROTOTYPE,True
12434,Chennai Rajdhani Route,SUPERFAST,NZM,AGC,DAILY_PROTOTYPE,True
12952,Mumbai Rajdhani Route,SUPERFAST,NZM,AGC,DAILY_PROTOTYPE,True
12642,Thirukkural Route,SUPERFAST,NZM,AGC,DAILY_PROTOTYPE,True
12652,Tamil Nadu Route,SUPERFAST,NZM,AGC,DAILY_PROTOTYPE,True
64074,Delhi Agra EMU,EMU,NDLS,AGC,DAILY_PROTOTYPE,True
14211,Agra New Delhi Intercity,INTERCITY,AGC,NDLS,DAILY_PROTOTYPE,True
12903,Golden Temple Return,EXPRESS,AGC,NZM,DAILY_PROTOTYPE,True
12401,Kota AC Return,EXPRESS,AGC,NZM,DAILY_PROTOTYPE,True
12279,Taj Express Return,EXPRESS,AGC,NDLS,DAILY_PROTOTYPE,True
12049,Gatimaan Return,PREMIUM,AGC,NZM,DAILY_PROTOTYPE,True
14216,Agra Delhi Passenger,PASSENGER,AGC,NDLS,DAILY_PROTOTYPE,True
14042,Delhi Agra Link,EXPRESS,NDLS,AGC,DAILY_PROTOTYPE,True
19038,Avadh Route,EXPRESS,NZM,AGC,DAILY_PROTOTYPE,True
