section_id,from_station_code,to_station_code,from_station_name,to_station_name,distance_km,track_configuration,electrification,traffic_class
SEC001,NDLS,CSB,New Delhi,Shivaji Bridge,2,DOUBLE,ELECTRIFIED,HIGH
SEC002,CSB,TKJ,Shivaji Bridge,Tilak Bridge,1,DOUBLE,ELECTRIFIED,HIGH
SEC003,TKJ,NZM,Tilak Bridge,Hazrat Nizamuddin,5,DOUBLE,ELECTRIFIED,HIGH
SEC004,NZM,OKA,Hazrat Nizamuddin,Okhla,4,DOUBLE,ELECTRIFIED,HIGH_DENSITY
SEC005,OKA,TKD,Okhla,Tuglakabad,6,DOUBLE,ELECTRIFIED,HIGH_DENSITY
SEC006,TKD,FDB,Tuglakabad,Faridabad,13,DOUBLE,ELECTRIFIED,HIGH_DENSITY
SEC007,FDB,FDN,Faridabad,Faridabad New Town,2,DOUBLE,ELECTRIFIED,HIGH_DENSITY
SEC008,FDN,BVH,Faridabad New Town,Ballabh Garh,6,DOUBLE,ELECTRIFIED,HIGH_DENSITY
SEC009,BVH,AST,Ballabh Garh,Asaoti,7,DOUBLE,ELECTRIFIED,HIGH_DENSITY
SEC010,AST,PWL,Asaoti,Palwal,10,DOUBLE,ELECTRIFIED,HIGH_DENSITY
SEC011,PWL,HDL,Palwal,Hodal,32,DOUBLE,ELECTRIFIED,HIGH_DENSITY
SEC012,HDL,KSV,Hodal,Kosi Kalan,7,DOUBLE,ELECTRIFIED,HIGH_DENSITY
SEC013,KSV,CHJ,Kosi Kalan,Chata,10,DOUBLE,ELECTRIFIED,HIGH_DENSITY
SEC014,CHJ,MTJ,Chata,Mathura Jn,15,DOUBLE,ELECTRIFIED,HIGH_DENSITY
SEC015,MTJ,DDDM,Mathura Jn,Deen Dayal Dham,33,DOUBLE,ELECTRIFIED,HIGH_DENSITY
SEC016,DDDM,RKM,Deen Dayal Dham,Raja Ki Mandi,38,DOUBLE,ELECTRIFIED,HIGH
SEC017,RKM,AGC,Raja Ki Mandi,Agra Cantt,4,DOUBLE,ELECTRIFIED,HIGH
