file,column,dtype,example
stations.csv,station_id,object,ST001
stations.csv,station_code,object,NDLS
stations.csv,station_name,object,New Delhi
stations.csv,latitude,float64,28.6431
stations.csv,longitude,float64,77.2195
stations.csv,km_from_ndls,int64,0
stations.csv,source_type,object,REAL_CORRIDOR_REFERENCE
stations.csv,source_note,object,Station names/order aligned to published Delhi–Agra route references; coordinates are approximate prototype coordinates.
railway_sections.csv,section_id,object,SEC001
railway_sections.csv,from_station_code,object,NDLS
railway_sections.csv,to_station_code,object,CSB
railway_sections.csv,from_station_name,object,New Delhi
railway_sections.csv,to_station_name,object,Shivaji Bridge
railway_sections.csv,distance_km,int64,2
railway_sections.csv,track_configuration,object,DOUBLE
railway_sections.csv,electrification,object,ELECTRIFIED
railway_sections.csv,traffic_class,object,HIGH
trains.csv,train_number,object,12904
trains.csv,train_name,object,Golden Temple Mail
trains.csv,train_type,object,EXPRESS
trains.csv,origin_code,object,NZM
trains.csv,destination_code,object,AGC
trains.csv,service_pattern,object,DAILY_PROTOTYPE
trains.csv,is_synthetic_schedule,bool,True
train_schedules.csv,schedule_id,object,TS00001
train_schedules.csv,train_number,object,12904
train_schedules.csv,station_code,object,NDLS
train_schedules.csv,station_name,object,New Delhi
train_schedules.csv,sequence,int64,1
train_schedules.csv,arrival_time,object,01:00
train_schedules.csv,departure_time,object,01:00
train_schedules.csv,day,int64,1
train_schedules.csv,km_from_origin,int64,0
assets.csv,asset_id,object,AST0001
assets.csv,section_id,object,SEC001
assets.csv,asset_type,object,TRACK
assets.csv,department,object,Engineering
assets.csv,installation_year,int64,2016
assets.csv,condition_score,int64,71
assets.csv,criticality,object,HIGH
assets.csv,last_maintenance_date,object,2026-08-01
maintenance_requests.csv,request_id,object,MR0001
maintenance_requests.csv,asset_id,object,AST0085
maintenance_requests.csv,section_id,object,SEC017
maintenance_requests.csv,department,object,S&T
maintenance_requests.csv,asset_type,object,TELECOM
maintenance_requests.csv,maintenance_type,object,Fiber link inspection
maintenance_requests.csv,severity,int64,80
maintenance_requests.csv,criticality_score,int64,74
maintenance_requests.csv,duration_hours,float64,4.0
maintenance_requests.csv,created_date,object,2026-08-19
maintenance_requests.csv,due_date,object,2026-09-01
maintenance_requests.csv,overdue_days,int64,16
maintenance_requests.csv,baseline_risk_score,float64,43.9
maintenance_requests.csv,status,object,PENDING
maintenance_history.csv,history_id,object,HIST0001
maintenance_history.csv,asset_id,object,AST0011
maintenance_history.csv,section_id,object,SEC003
maintenance_history.csv,event_date,object,2025-01-09
maintenance_history.csv,event_type,object,MINOR_FAILURE
maintenance_history.csv,severity,int64,99
maintenance_history.csv,downtime_hours,float64,2.0
crew_availability.csv,crew_id,object,CR001
crew_availability.csv,crew_name,object,Crew-S&T-01
crew_availability.csv,department,object,S&T
crew_availability.csv,available_from_hour,int64,14
crew_availability.csv,available_to_hour,int64,23
crew_availability.csv,team_size,int64,5
task_compatibility.csv,department_a,object,Engineering
task_compatibility.csv,department_b,object,Traction
task_compatibility.csv,compatibility,object,COMPATIBLE
traffic_windows.csv,traffic_window_id,object,TW00001
traffic_windows.csv,section_id,object,SEC001
traffic_windows.csv,hour,int64,0
traffic_windows.csv,train_count,int64,0
traffic_windows.csv,traffic_level,object,LOW
maintenance_windows.csv,window_id,object,MW00001
maintenance_windows.csv,section_id,object,SEC001
maintenance_windows.csv,start_hour,int64,0
maintenance_windows.csv,start_time,object,00:00
maintenance_windows.csv,end_time,object,01:00
maintenance_windows.csv,expected_train_count,int64,0
maintenance_windows.csv,traffic_level,object,LOW
maintenance_windows.csv,is_feasible,bool,True
maintenance_windows.csv,window_reason,object,LOW_TRAFFIC
ai_training_features.csv,request_id,object,MR0001
ai_training_features.csv,condition_score,int64,98
ai_training_features.csv,asset_age_years,int64,4
ai_training_features.csv,severity,int64,80
ai_training_features.csv,criticality_score,int64,74
ai_training_features.csv,overdue_days,int64,16
ai_training_features.csv,historical_event_count,int64,2
ai_training_features.csv,traffic_impact_score,float64,12.5
ai_training_features.csv,duration_hours,float64,4.0
ai_training_features.csv,priority_score,float64,63.13
ai_training_features.csv,priority_band,category,MEDIUM
